fragment_ID,species,date,time,site,depth_m,temp_C,collector,old_tag,intake_reflectance?,status,status_date,tank,treatment,sample_time,notes
DB-sid36-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,2,control,T3,NA
DB-sid24-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,2,control,T2,NA
DB-sid03-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,P,2026-05-26T00:00:00Z,7,control,T1,NA
DB-sid08-051426,ssid,2026-05-14,na,Dania,8.8000000000000007,27,HML,na,NA,H,2026-05-26T00:00:00Z,1,+4C,T4,NA
DB-sid31-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,H,2026-05-26T00:00:00Z,12,+2C,T4,NA
DB-sid21-051426,ssid,2026-05-14,na,Dania,9,27,HML,na,NA,P,2026-05-26T00:00:00Z,7,control,T5,NA
DB-sid17-051426,ssid,2026-05-14,na,Dania,8.8000000000000007,27,HML,na,NA,P,2026-05-26T00:00:00Z,5,control,T5,NA
DB-sid35-051426,ssid,2026-05-14,na,Dania,9.1,27,ROS,na,NA,P,2026-05-26T00:00:00Z,8,+4C,T2,NA
DB-sid12-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,1,+4C,T3,NA
DB-sid07-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,10,control,T3,NA
DB-sid25-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,9,+2C,T4,NA
DB-sid06-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,6,+2C,T3,NA
DB-sid27-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,P,2026-05-26T00:00:00Z,2,control,T4,NA
DB-sid26-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,9,+2C,T2,NA
DB-sid37-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,11,+4C,T1,NA
DB-sid23-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,PP,2026-05-26T00:00:00Z,1,+4C,T5,NA
DB-sid11-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,5,control,T4,NA
DB-sid05-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,P,2026-05-26T00:00:00Z,6,+2C,T2,NA
