"fragment_ID","species","date","time","site","depth_m","temp_C","collector","old_tag","intake_reflectance?","status","status_date","tank","treatment","sample timepoint","notes"
"JR-sid07-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"H",2026-05-26,9,"+2C","TP3",NA
"JR-sid08-052026","ssid",2026-05-20,"na","JR's Ledge","7.9","28","VRR","na",NA,"P",2026-05-26,5,"control","TP3",NA
"JR-sid28-052026","ssid",2026-05-20,"na","JR's Ledge","7.8","28","HML","na",NA,"H",2026-05-26,3,"+2C","TP1",NA
"JR-sid09-052026","ssid",2026-05-20,"na","JR's Ledge","7.6","28","VRR","na",NA,"H",2026-05-26,8,"+4C","TP3",NA
"JR-sid38-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"P",2026-05-26,10,"control","TP4",NA
"JR-sid36-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"P",2026-05-26,7,"control","TP2",NA
"JR-sid21-052026","ssid",2026-05-20,"na","JR's Ledge",NA,NA,NA,"na",NA,"P",2026-05-26,4,"+4C","TP2",NA
"JR-sid15-052026","ssid",2026-05-20,"na","JR's Ledge","7.9","28","VRR","na",NA,"P",2026-05-26,12,"+2C","TP5",NA
"JR-sid12-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"P",2026-05-26,6,"+2C","TP4",NA
"JR-sid29-052026","ssid",2026-05-20,"na","JR's Ledge","7.4","28","HML","na",NA,"P",2026-05-26,1,"+4C","TP4",NA
"JR-sid17-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"P",2026-05-26,11,"+4C","TP4",NA
"JR-sid20-052026","ssid",2026-05-20,"na","JR's Ledge","8.1999999999999993","28","VRR","na",NA,"P",2026-05-26,2,"control","TP4",NA
"JR-sid06-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"H",2026-05-26,9,"+2C","TP3",NA
"JR-sid27-052026","ssid",2026-05-20,"na","JR's Ledge","7.6","28","HML","na",NA,"H",2026-05-26,5,"control","TP2",NA
"JR-sid19-052026","ssid",2026-05-20,"na","JR's Ledge","7.8","28","HML","na",NA,"P",2026-05-26,3,"+2C","TP5","split in 2"
"JR-sid22-052026","ssid",2026-05-20,"na","JR's Ledge","7.5","28","HML","na",NA,"H",2026-05-26,8,"+4C","TP5",NA
"JR-sid35-052026","ssid",2026-05-20,"na","JR's Ledge","8.1999999999999993","28","VRR","na",NA,"P",2026-05-26,10,"control","TP1",NA
"JR-sid26-052026","ssid",2026-05-20,"na","JR's Ledge","7.6","28","VRR","na",NA,"P",2026-05-26,7,"control","TP3",NA
"JR-sid02-052026","ssid",2026-05-20,"na","JR's Ledge","7.2","28","HML","na",NA,"H",2026-05-26,4,"+4C","TP5",NA
